slug_id,article_date,title,section,subsection,word_count,authors,url
02asia-ambriefing-web,2023-01-01 16:19:59,Your Monday Briefing: The Impact of a U.S. Chip-Making Boom,Briefing,,6504, DANIEL E. SLOTNIK,https://www.nytimes.com/2023/01/01/briefing/chips-china-us-north-korea-nuclear.html
news-quiz-2022,2022-12-29 21:25:16,The Great News Quiz of 2022,Briefing,,0,,https://www.nytimes.com/interactive/2022/12/29/briefing/news-quiz-2022.html
29evening-briefing-web,2022-12-29 17:45:01,Your Thursday Evening Briefing,Briefing,,8103, JONATHAN WOLFE,https://www.nytimes.com/2022/12/29/briefing/pele-ukraine-southwest-airlines.html
29ambriefing-europe-web,2022-12-29 00:31:37,Your Thursday Briefing,Briefing,,6664, NATASHA FROST,https://www.nytimes.com/2022/12/29/briefing/china-covid-passengers-russia-ukraine.html
28evening-briefing-web,2022-12-28 17:14:51,Your Wednesday Evening Briefing,Briefing,,7688, JONATHAN WOLFE,https://www.nytimes.com/2022/12/28/briefing/china-travel-southwest-airlines.html
29ambriefing-asia-web,2022-12-28 16:10:59,Your Thursday Briefing: The U.S. Requires Covid Tests for Travelers From China,Briefing,,5879, AMELIA NIERENBERG,https://www.nytimes.com/2022/12/28/briefing/your-thursday-briefing-the-us-requires-covid-tests-for-travelers-from-china.html
28ambriefing-europe-web,2022-12-28 00:23:48,Your Wednesday Briefing,Briefing,,5350, NATASHA FROST,https://www.nytimes.com/2022/12/28/briefing/china-covid-russia-oil.html
28ambriefing-asia-web,2022-12-27 15:34:29,Your Wednesday Briefing: China’s Overwhelmed Hospitals,Briefing,,6072, AMELIA NIERENBERG,https://www.nytimes.com/2022/12/27/briefing/china-doctors-covid-hospitals.html
22evening-briefing-web,2022-12-22 17:50:35,Your Thursday Evening Briefing,Briefing,,8210, MATTHEW CULLEN,https://www.nytimes.com/2022/12/22/briefing/winter-storm-travel-senate-spending-bill.html
22ambriefing-europe-web,2022-12-22 00:18:28,Your Thursday Briefing,Briefing,,6314, NATASHA FROST,https://www.nytimes.com/2022/12/22/briefing/zelensky-congress-netanyahu-israel-trump.html
21evening-briefing-web,2022-12-21 17:40:14,Your Wednesday Evening Briefing,Briefing,,7996, MATTHEW CULLEN,https://www.nytimes.com/2022/12/21/briefing/ukraine-president-visit-winter-storm.html
22ambriefing-asia-web,2022-12-21 16:06:13,Your Thursday Briefing: Zelensky at the White House,Briefing,,6203, AMELIA NIERENBERG,https://www.nytimes.com/2022/12/21/briefing/zelensky-biden-washington.html
21themorning-ambriefing-web,2022-12-21 06:57:35,Hospitalizing the Homeless,Briefing,,8266, NICHOLAS F-OS,https://www.nytimes.com/2022/12/21/briefing/adams-homeless-hospitalization.html
21ambriefing-europe-web,2022-12-21 00:02:03,Your Wednesday Briefing,Briefing,,6161, NATASHA FROST,https://www.nytimes.com/2022/12/21/briefing/zelensky-washington-trump-taxes.html
